,precision,recall,f1-score,support
0,0.9768453768453769,0.9811144061183081,0.9789752375019468,6407.0
1,0.9863276836158192,0.9832169407524217,0.9847698555956678,8878.0
accuracy,0.9823356231599607,0.9823356231599607,0.9823356231599607,0.9823356231599607
macro avg,0.981586530230598,0.982165673435365,0.9818725465488073,15285.0
weighted avg,0.9823529934307866,0.9823356231599607,0.9823409306282834,15285.0
