,precision,recall,f1-score,support
0,0.7029579915485956,0.55234375,0.6186153341354041,5120.0
1,0.7206581352833638,0.8318795723128869,0.772284986612682,7108.0
accuracy,0.7148348053647366,0.7148348053647366,0.7148348053647366,0.7148348053647366
macro avg,0.7118080634159797,0.6921116611564435,0.6954501603740431,12228.0
weighted avg,0.7132468876613476,0.7148348053647366,0.7079417889774462,12228.0
